CardNumber,CardTypeId,ArtworkKey
// Unique card number from 1 through 99,Card type identifier from BattleCardTypeCsvData,Artwork resource key
// Associated: BattleCardTypeCsvData,BattleProgressionCsvData
1,4,Boar_001
2,3,GoblinBomber_002
3,3,GoblinBomber_003
4,1,GoblinWarrior_004
5,2,GoblinArcher_005
6,2,GoblinArcher_006
7,3,GoblinBomber_007
8,4,Boar_008
9,1,GoblinWarrior_009
10,1,GoblinWarrior_010
11,1,GoblinWarrior_011
12,3,GoblinBomber_012
13,3,GoblinBomber_013
14,2,GoblinArcher_014
15,1,GoblinWarrior_015
16,1,GoblinWarrior_016
17,1,GoblinWarrior_017
18,2,GoblinArcher_018
19,2,GoblinArcher_019
20,2,GoblinArcher_020
21,2,GoblinArcher_021
22,4,Boar_022
23,1,GoblinWarrior_023
24,4,Boar_024
25,1,GoblinWarrior_025
26,4,Boar_026
27,2,GoblinArcher_027
28,3,GoblinBomber_028
29,2,GoblinArcher_029
30,3,GoblinBomber_030
31,4,Boar_031
32,1,GoblinWarrior_032
33,2,GoblinArcher_033
34,1,GoblinWarrior_034
35,2,GoblinArcher_035
36,3,GoblinBomber_036
37,4,Boar_037
38,3,GoblinBomber_038
39,4,Boar_039
40,5,Ogre_040
41,4,Boar_041
42,3,GoblinBomber_042
43,4,Boar_043
44,5,Ogre_044
45,5,Ogre_045
46,1,GoblinWarrior_046
47,2,GoblinArcher_047
48,1,GoblinWarrior_048
49,5,Ogre_049
50,3,GoblinBomber_050
51,3,GoblinBomber_051
52,2,GoblinArcher_052
53,2,GoblinArcher_053
54,3,GoblinBomber_054
55,4,Boar_055
56,3,GoblinBomber_056
57,4,Boar_057
58,1,GoblinWarrior_058
59,5,Ogre_059
60,5,Ogre_060
61,3,GoblinBomber_061
62,2,GoblinArcher_062
63,4,Boar_063
64,1,GoblinWarrior_064
65,4,Boar_065
66,5,Ogre_066
67,5,Ogre_067
68,5,Ogre_068
69,1,GoblinWarrior_069
70,4,Boar_070
71,2,GoblinArcher_071
72,5,Ogre_072
73,3,GoblinBomber_073
74,5,Ogre_074
75,2,GoblinArcher_075
76,5,Ogre_076
77,2,GoblinArcher_077
78,5,Ogre_078
79,5,Ogre_079
80,4,Boar_080
81,3,GoblinBomber_081
82,1,GoblinWarrior_082
83,3,GoblinBomber_083
84,1,GoblinWarrior_084
85,4,Boar_085
86,5,Ogre_086
87,1,GoblinWarrior_087
88,2,GoblinArcher_088
89,3,GoblinBomber_089
90,4,Boar_090
91,5,Ogre_091
92,5,Ogre_092
93,1,GoblinWarrior_093
94,3,GoblinBomber_094
95,5,Ogre_095
96,4,Boar_096
97,5,Ogre_097
98,2,GoblinArcher_098
99,6,FusionCard_099
