Keyword,Level,DisplayName,Description,DisplayOrder,DamageNumerator,DamageDenominator,BlastDistance,AttackGain,HealthGain,DamageReduction,SuppressCounterDamage
// Base keyword flag for this level,Keyword level from 1 through 4,Chinese display name,Player-facing rule description,Stable display order,Damage scale numerator,Damage scale denominator,Adjacent slot distance,Attack gain per trigger,Health gain per trigger,Incoming damage reduction,Whether counter damage is suppressed
// Associated: BattleCardTypeCsvData
Taunt,1,嘲讽,敌人必须优先攻击此单位。,0,1,1,0,0,0,0,false
Taunt,2,嘲讽,敌人必须优先攻击此单位；受到伤害时减少1点（最低受到1点伤害）。,0,1,1,0,0,0,1,false
Taunt,3,嘲讽,敌人必须优先攻击此单位；受到伤害时减少3点（最低受到1点伤害）。,0,1,1,0,0,0,3,false
Taunt,4,嘲讽,敌人必须优先攻击此单位；受到伤害时减少5点（最低受到1点伤害）。,0,1,1,0,0,0,5,false
LongShot,1,远射,攻击时造成50%伤害，且不会受到目标反击。,1,1,2,0,0,0,0,true
LongShot,2,远射,攻击时造成60%伤害，且不会受到目标反击。,1,3,5,0,0,0,0,true
LongShot,3,远射,攻击时造成70%伤害，且不会受到目标反击。,1,7,10,0,0,0,0,true
LongShot,4,远射,攻击时造成80%伤害，且不会受到目标反击。,1,4,5,0,0,0,0,true
Blast,1,爆裂,攻击时对目标相邻1格内的存活单位造成50%攻击伤害；与远射叠乘（同时为1级时造成25%攻击伤害）。,2,1,2,1,0,0,0,false
Blast,2,爆裂,攻击时对目标相邻1格内的存活单位造成60%攻击伤害；与远射的伤害比例叠乘。,2,3,5,1,0,0,0,false
Blast,3,爆裂,攻击时对目标相邻1格内的存活单位造成70%攻击伤害；与远射的伤害比例叠乘。,2,7,10,1,0,0,0,false
Blast,4,爆裂,攻击时对目标相邻1格内的存活单位造成80%攻击伤害；与远射的伤害比例叠乘。,2,4,5,1,0,0,0,false
Charge,1,冲锋,每次发动攻击前，使己方所有存活单位的攻击和生命各提高1点。,3,1,1,0,1,1,0,false
Charge,2,冲锋,每次发动攻击前，使己方所有存活单位的攻击和生命各提高2点。,3,1,1,0,2,2,0,false
Charge,3,冲锋,每次发动攻击前，使己方所有存活单位的攻击和生命各提高4点。,3,1,1,0,4,4,0,false
Charge,4,冲锋,每次发动攻击前，使己方所有存活单位的攻击和生命各提高5点。,3,1,1,0,5,5,0,false
