BattleNumber,CardNumbers
// Battle round number,Semicolon-separated enemy battle card identifiers in slot order
// Associated: BattleCardCsvData
1,4
1,5
1,2
1,8
1,40
2,4;5;2
2,8;14;12
2,9;18;3
2,40;4;5
2,14;8;40
3,4;100;5;2
3,5;105;8;12
3,2;109;9;14
3,8;112;4;14
3,40;104;4;14
4,4;100;101;102
4,5;105;106;107
4,2;109;110;111
4,8;112;103;107
4,40;104;108;113
5,4;115;116;102;5
5,5;120;121;106;8
5,2;124;125;110;9
5,8;127;137;103;4
5,40;119;123;104;4
6,100;115;116;102;101
6,105;120;121;106;107
6,109;124;125;110;111
6,112;127;137;103;107
6,104;119;123;108;111
7,100;115;116;117;118;4
7,105;120;121;122;123;5
7,109;124;125;126;134;2
7,112;127;137;143;146;8
7,104;119;123;126;139;40
